Kontonummer,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position,Handlungshilfe,UStVA_Kennzahl,Steuerschluessel,USt_Berichtskategorie,Kontoart,Automatikkonto,Standard-Gegenkonto
0410,"Geschäftsausstattung (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Ausstattung für Verkaufs- und Geschäftsräume (z.B. Ladenbau, Regale).","","","",Aktivkonto,Nein,1200
0420,"Büroeinrichtung (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Möbel und Einrichtung für Büroräume (Schreibtische, Stühle, Schränke).","","","",Aktivkonto,Nein,1200
0440,"Werkzeuge (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Werkzeuge, die als eigenständige Vermögensgegenstände aktiviert werden (z.B. teure Messgeräte).","","","",Aktivkonto,Nein,1200
0450,"Einbauten (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Einbauten in gemietete Räume (Mietereinbauten), die aktiviert werden.","","","",Aktivkonto,Nein,1200
0480,"Geringwertige Wirtschaftsgüter (GWG)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Sammelkonto für geringwertige Wirtschaftsgüter zur sofortigen oder poolweisen Abschreibung.","","","",Aktivkonto,Nein,1200
0490,"Sonstige Betriebs- und Geschäftsausstattung (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Auffangkonto für BGA, die keiner anderen Kategorie zugeordnet werden können.","","","",Aktivkonto,Nein,1200
0498,"Andere Anlagen, Betriebsausstattung im Bau (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.4. Geleistete Anzahlungen und Anlagen im Bau","","","Erfassung von Kosten für noch nicht fertiggestellte BGA oder geleistete Anzahlungen darauf.","","","",Aktivkonto,Nein,1200
0800,"Gezeichnetes Kapital",Kapital,Eigenkapital,"","A.I. Gezeichnetes Kapital","","Ausweis des Nennkapitals der Kapitalgesellschaft (z.B. Stammkapital bei GmbH, Grundkapital bei AG).","","","",Passivkonto,Nein,1200
0809,"Kapitalerhöhung aus Gesellschaftsmitteln",Kapital,Eigenkapital,"","A.I. Gezeichnetes Kapital","","Verrechnungskonto bei einer Kapitalerhöhung durch Umwandlung von Rücklagen in gezeichnetes Kapital.","","","",Passivkonto,Nein,0855
0819,"Erworbene eigene Anteile",Kapital,Eigenkapital (Minderung),"","A.I. Gezeichnetes Kapital (als Abzug)","","Offener Abzug vom gezeichneten Kapital zum Nennwert.","","","",Passivkonto,Nein,1200
0840,"Kapitalrücklage",Kapital,"Eigenkapital / Rücklagen","","A.II. Kapitalrücklage","","Sammelkonto für Kapitalrücklagen gemäß § 272 Abs. 2 HGB.","","","",Passivkonto,Nein,
0841,"Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag",Kapital,"Eigenkapital / Rücklagen","","A.II. Kapitalrücklage","","Erfassung des Agios aus der Ausgabe von Geschäftsanteilen.","","","",Passivkonto,Nein,1200
0842,"Kapitalrücklage durch Ausgabe von Schuldverschreibungen",Kapital,"Eigenkapital / Rücklagen","","A.II. Kapitalrücklage","","Erfassung des Agios aus der Ausgabe von Wandel- oder Optionsanleihen.","","","",Passivkonto,Nein,1200
0843,"Kapitalrücklage gegen Vorzugsgewährung",Kapital,"Eigenkapital / Rücklagen","","A.II. Kapitalrücklage","","Erfassung von Zuzahlungen der Gesellschafter für Vorzugsanteile.","","","",Passivkonto,Nein,1200
0844,"Kapitalrücklage durch Zuzahlungen in das Eigenkapital",Kapital,"Eigenkapital / Rücklagen","","A.II. Kapitalrücklage","","Erfassung sonstiger Zuzahlungen von Gesellschaftern in das Eigenkapital.","","","",Passivkonto,Nein,1200
0846,"Gesetzliche Rücklage",Kapital,"Eigenkapital / Gewinnrücklagen","","A.III.1. Gesetzliche Rücklage","","Erfassung der nach Gesetz zu bildenden Gewinnrücklagen (z.B. bei AG).","","","",Passivkonto,Nein,2869
0848,"Gewinnrücklagen aus Erwerb eigener Anteile",Kapital,"Eigenkapital / Gewinnrücklagen","","A.III.2. Rücklage für eigene Anteile","","Bildung einer Rücklage in Höhe der Aufwendungen für den Erwerb eigener Anteile.","","","",Passivkonto,Nein,
0851,"Satzungsmäßige Rücklagen",Kapital,"Eigenkapital / Gewinnrücklagen","","A.III.3. Satzungsmäßige Rücklagen","","Bildung von Rücklagen, die auf Satzung oder Gesellschaftsvertrag basieren.","","","",Passivkonto,Nein,2869
0852,"Andere Ergebnisrücklagen",Kapital,"Eigenkapital / Gewinnrücklagen","","A.III.4. Andere Gewinnrücklagen","","Freiwillige, durch Gesellschafterbeschluss gebildete Rücklagen.","","","",Passivkonto,Nein,2869
0855,"Andere Gewinnrücklagen",Kapital,"Eigenkapital / Gewinnrücklagen","","A.III.4. Andere Gewinnrücklagen","","Auffangkonto für sonstige, freiwillig gebildete Gewinnrücklagen.","","","",Passivkonto,Nein,2869
0856,"Eigenkapitalanteil von Wertaufholungen",Kapital,"Eigenkapital / Gewinnrücklagen","","A.III.4. Andere Gewinnrücklagen","","Erfolgswirksame Zuschreibungen auf Vermögensgegenstände, die das Eigenkapital erhöhen.","","","",Passivkonto,Nein,
0859,"Latente Steuern (Gewinnrücklage Haben)",Kapital,"Eigenkapital / Gewinnrücklagen","","A.III.4. Andere Gewinnrücklagen","","Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Haben).","","","",Passivkonto,Nein,
0860,"Gewinnvortrag vor Verwendung",Kapital,Eigenkapital,"","A.IV. Gewinnvortrag/Verlustvortrag","","Ausweis des Gewinns aus dem Vorjahr vor Beschluss über die Gewinnverwendung.","","","",Passivkonto,Nein,
0868,"Verlustvortrag vor Verwendung",Kapital,Eigenkapital,"","A.IV. Gewinnvortrag/Verlustvortrag (negativ)","","Ausweis des Verlusts aus dem Vorjahr vor Beschluss über die Verlustverrechnung.","","","",Passivkonto,Nein,
0869,"Vortrag auf neue Rechnung (Bilanz)",Kapital,Eigenkapital,"","A.IV. Gewinnvortrag/Verlustvortrag","","Technisches Vortragskonto für die Eröffnungsbilanz; wird auf Gewinn-/Verlustvortrag umgebucht.","","","",Passivkonto,Nein,
0870,"Festkapital",Kapital,"Eigenkapital (Personengesellschaft)","","A. Kapitalanteile der Vollhafter","","Erfassung der festen Kapitalanteile der Gesellschafter bei Personengesellschaften.","","","",Passivkonto,Nein,
0880,"Variables Kapital",Kapital,"Eigenkapital (Personengesellschaft)","","A. Kapitalanteile der Vollhafter","","Erfassung der variablen Kapitalanteile (z.B. aus Gewinn, Verlust, Entnahmen) bei Personengesellschaften.","","","",Passivkonto,Nein,
0910,"Verlustausgleichskonto",Kapital,"Eigenkapital (Personengesellschaft)","","A. Kapitalanteile der Vollhafter","","Verrechnungskonto für Verluste der Gesellschafter bei Personengesellschaften.","","","",Passivkonto,Nein,
0955,"Steuerrückstellungen",Rückstellung,"Kurzfristige Rückstellungen","","C.2. Steuerrückstellungen","","Sammelkonto für ungewisse Steuerverbindlichkeiten (z.B. für Betriebsprüfung).","","","",Passivkonto,Nein,
0956,"Gewerbesteuerrückstellung, § 4 Abs. 5b EStG",Rückstellung,"Kurzfristige Rückstellungen","","C.2. Steuerrückstellungen","","Rückstellung für die voraussichtliche Gewerbesteuerschuld des laufenden Jahres.","","","",Passivkonto,Nein,2280
0962,"Steuerrückstellung aus Steuerstundung (BStBK)",Rückstellung,"Kurzfristige Rückstellungen","","C.2. Steuerrückstellungen","","Rückstellung für gestundete, aber wirtschaftlich ins Jahr gehörende Steuern.","","","",Passivkonto,Nein,
0963,"Körperschaftsteuerrückstellung",Rückstellung,"Kurzfristige Rückstellungen","","C.2. Steuerrückstellungen","","Rückstellung für die voraussichtliche Körperschaftsteuerschuld des laufenden Jahres.","","","",Passivkonto,Nein,2200
0965,"Rückstellungen für Personalkosten",Rückstellung,"Kurzfristige Rückstellungen","","C.3. Sonstige Rückstellungen","","Rückstellungen für z.B. ausstehende Tantiemen, Boni oder Überstundenvergütungen.","","","",Passivkonto,Nein,
0966,"Rückstellungen zur Erfüllung der Aufbewahrungspflichten",Rückstellung,"Sonstige Rückstellungen","","C.3. Sonstige Rückstellungen","","Rückstellung für die Kosten der Aufbewahrung von Geschäftsunterlagen.","","","",Passivkonto,Nein,4900
0967,"Rückstellungen für Altersversorgung vergleichb. Verpfl. §246 Abs.2 HGB",Rückstellung,"Langfristige Rückstellungen","","C.1. Rückstellungen für Pensionen und ähnliche Verpflichtungen","","Verrechnung dieser Rückstellungen mit Deckungsvermögen (Saldierungsgebot).","","","",Passivkonto,Nein,
0968,"Passive latente Steuern",Rückstellung,"Latente Steuern","","E. Passive latente Steuern","","Passivierung zukünftiger Steuerbelastungen aus temporären Differenzen zwischen Handels- und Steuerbilanz.","","","",Passivkonto,Nein,2400
0969,"Rückstellung für latente Steuern",Rückstellung,"Latente Steuern","","E. Passive latente Steuern","","Alternativkonto für passive latente Steuern.","","","",Passivkonto,Nein,2400
0970,"Sonstige Rückstellungen",Rückstellung,"Sonstige Rückstellungen","","C.3. Sonstige Rückstellungen","","Sammelkonto für alle sonstigen ungewissen Verbindlichkeiten.","","","",Passivkonto,Nein,
0971,"Rückstellung für unterlassene Aufwendungen",Rückstellung,Aufwandsrückstellungen,"","C.3. Sonstige Rückstellungen","","Rückstellung für Instandhaltung, die im Geschäftsjahr unterlassen, aber im Folgejahr nachgeholt wird.","","","",Passivkonto,Nein,4800
0973,"Rückstellung für Abraum- und Abfallbeseitigung",Rückstellung,Aufwandsrückstellungen,"","C.3. Sonstige Rückstellungen","","Rückstellung für zukünftige Verpflichtungen zur Rekultivierung oder Entsorgung.","","","",Passivkonto,Nein,4900
0974,"Rückstellungen für Gewährleistungen",Rückstellung,"Sonstige Rückstellungen","","C.3. Sonstige Rückstellungen","","Rückstellung für erwartete Inanspruchnahmen aus Garantie- und Gewährleistungsverpflichtungen.","","","",Passivkonto,Nein,4760
0976,"Rückstellungen für drohende Verluste aus schwebenden Geschäften",Rückstellung,"Sonstige Rückstellungen","","C.3. Sonstige Rückstellungen","","Rückstellung für erwartete Verluste aus noch nicht erfüllten Verträgen (z.B. Einkaufs- oder Verkaufsverträge).","","","",Passivkonto,Nein,
0977,"Rückstellungen für Abschluss- und Prüfungskosten",Rückstellung,"Sonstige Rückstellungen","","C.3. Sonstige Rückstellungen","","Rückstellung für die Kosten der Erstellung und Prüfung des Jahresabschlusses.","","","",Passivkonto,Nein,4950
0978,"Aufwandsrückstellungen (§ 249 Abs. 2 HGB)",Rückstellung,Aufwandsrückstellungen,"","C.3. Sonstige Rückstellungen","","Sammelkonto für Aufwandsrückstellungen (z.B. Instandhaltung, Abraumbeseitigung).","","","",Passivkonto,Nein,
0980,"Aktive Rechnungsabgrenzung (Rechnungsabgrenzungsposten)",ARAP,Rechnungsabgrenzung,"C. Rechnungsabgrenzungsposten","","","Abgrenzung von Ausgaben, die Aufwand für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.","","","",Aktivkonto,Nein,
0983,"Aktive latente Steuern (Rechnungsabgrenzungsposten)",ARAP,"Latente Steuern","D. Aktive latente Steuern","","","Aktivierung zukünftiger Steuerentlastungen aus temporären Differenzen zwischen Handels- und Steuerbilanz.","","","",Aktivkonto,Nein,2400
0984,"Aufwand Zölle und Verbrauchsteuern (Rechnungsabgrenzungsposten)",ARAP,Rechnungsabgrenzung,"C. Rechnungsabgrenzungsposten","","","Abgrenzung von im Voraus bezahlten Zöllen und Verbrauchssteuern.","","","",Aktivkonto,Nein,
0985,"Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen (Rechnungsabgrenzungsposten)",ARAP,Rechnungsabgrenzung,"C. Rechnungsabgrenzungsposten","","","Periodengerechte Abgrenzung der nicht abziehbaren Vorsteuer auf Anzahlungen.","","","",Aktivkonto,Nein,
0986,"Damnum / Disagio (Rechnungsabgrenzungsposten)",ARAP,Rechnungsabgrenzung,"C. Rechnungsabgrenzungsposten","","","Aktivierung und planmäßige Abschreibung eines bei Darlehensaufnahme gezahlten Disagios.","","","",Aktivkonto,Nein,
0987,"Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsn. Verrechnungen",Kapital,Eigenkapital (Minderung),"","A.III.4. Andere Gewinnrücklagen (als Minderung)","","Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Soll).","","","",Passivkonto,Nein,
0988,"Latente Steuern (Gewinnrückl. Soll) aus erfolgsneutr. Verr.",Kapital,Eigenkapital (Minderung),"","A.III.4. Andere Gewinnrücklagen (als Minderung)","","Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Soll).","","","",Passivkonto,Nein,
0990,"Passive Rechnungsabgrenzung",PRAP,Rechnungsabgrenzung,"","D. Rechnungsabgrenzungsposten","","Abgrenzung von Einnahmen, die Ertrag für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.","","","",Passivkonto,Nein,
0996,"Pauschalwertberichtigung auf Forderungen",Forderungen,Wertberichtigung,"B.II. Forderungen ... (als Abzug)","","","Bildung einer pauschalen Wertberichtigung zur Abdeckung des allgemeinen Kreditrisikos.","","","",Aktivkonto,Nein,2451
0997,"Pauschalwertberichtigung auf Forderungen größer 1 Jahr",Forderungen,Wertberichtigung,"B.II. Forderungen ... (als Abzug)","","","Separate Bildung einer PWB für langfristige Forderungen.","","","",Aktivkonto,Nein,2451
0998,"Einzelwertberichtigung auf Forderungen",Forderungen,Wertberichtigung,"B.II. Forderungen ... (als Abzug)","","","Bildung einer Einzelwertberichtigung für spezifische, zweifelhafte Forderungen.","","","",Aktivkonto,Nein,2451
0999,"Einzelwertberichtigung auf Forderungen größer 1 Jahr",Forderungen,Wertberichtigung,"B.II. Forderungen ... (als Abzug)","","","Separate Bildung einer EWB für langfristige, zweifelhafte Forderungen.","","","",Aktivkonto,Nein,2451
1000,"Bargeld Kasse",Finanzkonto,"Liquide Mittel","B.IV. Kassenbestand...","","","Erfassung des physischen Bargeldbestands in der Geschäftskasse.","","","",Aktivkonto,Nein,
1370,"Gewinnermittlung § 4/3 EStG ergebniswirksam",Forderungen,"Verrechnungskonto EÜR","Technisches Konto für EÜR","","","Technisches Konto zur Ergebnisermittlung bei Einnahmen-Überschuss-Rechnung.","","","",Aktivkonto,Nein,
1371,"Gewinnermittlung § 4/3 EStG nicht ergebniswirksam",Forderungen,"Verrechnungskonto EÜR","Technisches Konto für EÜR","","","Technisches Konto für nicht ergebniswirksame Posten bei Einnahmen-Überschuss-Rechnung.","","","",Aktivkonto,Nein,
1380,"Überleitungskonto Kostenstelle",Forderungen,"Verrechnungskonto KLR","Technisches Konto","","","Verrechnungskonto für die Kostenstellenrechnung, sollte am Periodenende ausgeglichen sein.","","","",Aktivkonto,Nein,
1390,"Verrechnungskonto Ist-Versteuerung",Interimskonto,"Verrechnungskonto USt","Technisches Konto","","","Verrechnungskonto bei Umstellung der Versteuerungsart (Soll-/Ist-Versteuerung).","","","",Aktivkonto,Nein,
1400,"Forderungen aus Lieferungen und Leistungen",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Sammelkonto für offene Kundenrechnungen (Debitoren).","","","",Aktivkonto,Nein,8400
1410,"Forderungen aus Lieferungen und Leistungen ohne Kontokorrent",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Für Debitoren, die nicht über ein Personenkonto geführt werden.","","","",Aktivkonto,Nein,8400
1445,"Forderungen aus Lieferungen und Leistungen zum allgemeinen Steuersatz",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Detaillierung der Forderungen nach Umsatzsteuersatz (hier: Regelsteuersatz).","","","",Aktivkonto,Nein,8400
1446,"Forderungen aus Lieferungen und Leistungen zum ermäßigten Steuersatz",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Detaillierung der Forderungen nach Umsatzsteuersatz (hier: ermäßigter Steuersatz).","","","",Aktivkonto,Nein,8300
1447,"Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Detaillierung der Forderungen aus steuerfreien/nicht steuerbaren Umsätzen.","","","",Aktivkonto,Nein,8100
1448,"Forderungen aus Lieferungen und Leistungen gemäß § 24 UStG",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Forderungen aus Umsätzen für pauschalierende Land- und Forstwirte.","","","",Aktivkonto,Nein,
1450,"Forderungen nach § 11 Abs. 1 Satz 2 EStG für § 4 Abs. 3 EStG",Forderungen,"Forderungen aus LuL","Technisches Konto für EÜR","","","Abgrenzung von regelmäßig wiederkehrenden Einnahmen bei EÜR.","","","",Aktivkonto,Nein,
1451,"Forderungen aus Lieferungen und Leistungen bis 1 Jahr",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Forderungen mit einer Restlaufzeit von bis zu einem Jahr.","","","",Aktivkonto,Nein,8400
1455,"Forderungen aus Lieferungen und Leistungen größer 1 Jahr",Forderungen,"Forderungen aus LuL","B.II.1. Forderungen aus Lieferungen und Leistungen","","","Forderungen mit einer Restlaufzeit von mehr als einem Jahr.","","","",Aktivkonto,Nein,8400
1490,"Forderungen aus Lieferungen und Leistungen gegen Gesellschafter",Forderungen,"Forderungen gegen Gesellschafter","B.II.3. Forderungen gegen Gesellschafter","","","Offene Rechnungen aus Lieferungen und Leistungen an Gesellschafter.","","","",Aktivkonto,Nein,8400
1491,"Forderungen aus Lieferungen und Leistungen gegen Gesellschafter bis 1 Jahr",Forderungen,"Forderungen gegen Gesellschafter","B.II.3. Forderungen gegen Gesellschafter","","","Forderungen an Gesellschafter mit einer Restlaufzeit bis zu einem Jahr.","","","",Aktivkonto,Nein,8400
1495,"Forderungen aus Lieferungen und Leistungen gegen Gesellschafter größer 1 Jahr",Forderungen,"Forderungen gegen Gesellschafter","B.II.3. Forderungen gegen Gesellschafter","","","Forderungen an Gesellschafter mit einer Restlaufzeit von mehr als einem Jahr.","","","",Aktivkonto,Nein,8400
1500,"Sonstige Vermögensgegenstände",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Sammelkonto für Forderungen, die nicht aus LuL oder gegen verbundene Unternehmen stammen.","","","",Aktivkonto,Nein,
1501,"Sonstige Vermögensgegenstände bis 1 Jahr",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Sonstige Forderungen mit einer Restlaufzeit von bis zu einem Jahr.","","","",Aktivkonto,Nein,
1502,"Sonstige Vermögensgegenstände größer 1 Jahr",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Sonstige Forderungen mit einer Restlaufzeit von mehr als einem Jahr.","","","",Aktivkonto,Nein,
1503,"Forderungen gegen Geschäftsführer bis 1 Jahr",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Forderungen (z.B. Darlehen) gegen Geschäftsführer mit Restlaufzeit bis 1 Jahr.","","","",Aktivkonto,Nein,1200
1504,"Forderungen gegen Geschäftsführer größer 1 Jahr",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Forderungen (z.B. Darlehen) gegen Geschäftsführer mit Restlaufzeit über 1 Jahr.","","","",Aktivkonto,Nein,1200
1507,"Forderungen gegen Gesellschafter - Restlaufzeit bis 1 Jahr",Forderungen,"Forderungen gegen Gesellschafter","B.II.3. Forderungen gegen Gesellschafter","","","Nicht aus LuL stammende Forderungen an Gesellschafter mit Restlaufzeit bis 1 Jahr.","","","",Aktivkonto,Nein,1200
1508,"Forderungen gegen Gesellschafter - Restlaufzeit größer 1 Jahr",Forderungen,"Forderungen gegen Gesellschafter","B.II.3. Forderungen gegen Gesellschafter","","","Nicht aus LuL stammende Forderungen an Gesellschafter mit Restlaufzeit über 1 Jahr.","","","",Aktivkonto,Nein,1200
1520,"Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Erstattungsansprüche für Lohnfortzahlung bei Krankheit (U1) oder Mutterschaft (U2).","","","",Aktivkonto,Nein,4110
1521,"Agenturwarenabrechnung (Forderung)",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Forderungen aus der Abrechnung von Waren im Agenturgeschäft.","","","",Aktivkonto,Nein,
1528,"Nachträglich abziehbare Vorsteuer, § 15a Abs. 2 UStG",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Vorsteuerkorrektur nach § 15a UStG zu Gunsten des Unternehmens.","64","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1529,"Zurückzuzahlende Vorsteuer, § 15a Abs. 2 UStG",Vorsteuer,"Verbindlichkeiten ggü. Finanzamt (Vorsteuer)","","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Vorsteuerkorrektur nach § 15a UStG zu Lasten des Unternehmens.","64","9","Verauslagte Vorsteuern",Passivkonto,Ja,
1530,"Forderungen an Mitarbeiter",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Forderungen an Mitarbeiter (z.B. Lohnvorschüsse, Darlehen).","","","",Aktivkonto,Nein,1200
1531,"Forderungen an Mitarbeiter bis 1 Jahr",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Forderungen an Mitarbeiter mit einer Restlaufzeit von bis zu einem Jahr.","","","",Aktivkonto,Nein,1200
1537,"Forderungen an Mitarbeiter größer 1 Jahr",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Forderungen an Mitarbeiter mit einer Restlaufzeit von mehr als einem Jahr.","","","",Aktivkonto,Nein,1200
1540,"Forderungen aus Steuerüberzahlungen",Forderungen,"Forderungen an Finanzamt","B.II.4. Sonstige Vermögensgegenstände","","","Sammelkonto für Steuererstattungsansprüche (außer USt).","","","",Aktivkonto,Nein,1200
1542,"Steuererstattungsansprüche gegenüber anderen Ländern",Forderungen,"Forderungen an Finanzamt","B.II.4. Sonstige Vermögensgegenstände","","","Erstattungsansprüche für im Ausland gezahlte Steuern.","","","",Aktivkonto,Nein,1200
1543,"Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag",Forderungen,"Forderungen an Finanzamt","B.II.4. Sonstige Vermögensgegenstände","","","Anrechenbare Bauabzugsteuer nach § 48 EStG.","","","",Aktivkonto,Nein,1200
1544,"Forderungen gegenüber Bundesagentur für Arbeit",Forderungen,"Sonstige Forderungen","B.II.4. Sonstige Vermögensgegenstände","","","Forderungen z.B. aus Kurzarbeitergeld oder Eingliederungszuschüssen.","","","",Aktivkonto,Nein,1200
