Kontonummer,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position,Handlungshilfe,UStVA_Kennzahl,Steuerschluessel,USt_Berichtskategorie,Kontoart,Automatikkonto,Standard-Gegenkonto
0310,Andere Anlagen (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Sonstige Anlagen, die nicht Maschinen oder BGA sind (z.B. Außenanlagen, Hofbefestigungen).",,,,,,
0320,Pkw (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,Erfassung von Personenkraftwagen im Betriebsvermögen (Firmenwagen).,,,,,,
0350,Lkw (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Erfassung von Lastkraftwagen, Lieferwagen und Transportern im Betriebsvermögen.",,,,,,
0380,Sonstige Transportmittel (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Erfassung von z.B. Anhängern, Gabelstaplern oder Fahrrädern.",,,,,,
0400,Betriebsausstattung (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Ausstattung für Werkstatt und Produktion, die nicht direkt Maschinen sind.",,,,,,
0410,Geschäftsausstattung (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Ausstattung für Verkaufs- und Geschäftsräume (z.B. Ladenbau, Regale).",,,,,,
0420,Büroeinrichtung (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Möbel und Einrichtung für Büroräume (Schreibtische, Stühle, Schränke).",,,,,,
0440,Werkzeuge (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Werkzeuge, die als eigenständige Vermögensgegenstände aktiviert werden (z.B. teure Messgeräte).",,,,,,
0450,Einbauten (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Einbauten in gemietete Räume (Mietereinbauten), die aktiviert werden.",,,,,,
0480,Geringwertige Wirtschaftsgüter (GWG),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,Sammelkonto für geringwertige Wirtschaftsgüter zur sofortigen oder poolweisen Abschreibung.,,,,,,
0490,Sonstige Betriebs- und Geschäftsausstattung (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,"Auffangkonto für BGA, die keiner anderen Kategorie zugeordnet werden können.",,,,,,
0498,"Andere Anlagen, Betriebsausstattung im Bau (Anlagevermögen)",Anlagevermögen,Sachanlagen,A.II.4. Geleistete Anzahlungen und Anlagen im Bau,,,Erfassung von Kosten für noch nicht fertiggestellte BGA oder geleistete Anzahlungen darauf.,,,,,,
0800,Gezeichnetes Kapital,Kapital,Eigenkapital,,A.I. Gezeichnetes Kapital,,"Ausweis des Nennkapitals der Kapitalgesellschaft (z.B. Stammkapital bei GmbH, Grundkapital bei AG).",,,,,,
0809,Kapitalerhöhung aus Gesellschaftsmitteln,Kapital,Eigenkapital,,A.I. Gezeichnetes Kapital,,Verrechnungskonto bei einer Kapitalerhöhung durch Umwandlung von Rücklagen in gezeichnetes Kapital.,,,,,,
0819,Erworbene eigene Anteile,Kapital,Eigenkapital (Minderung),,A.I. Gezeichnetes Kapital (als Abzug),,Offener Abzug vom gezeichneten Kapital zum Nennwert.,,,,,,
0840,Kapitalrücklage,Kapital,Eigenkapital / Rücklagen,,A.II. Kapitalrücklage,,Sammelkonto für Kapitalrücklagen gemäß § 272 Abs. 2 HGB.,,,,,,
0841,Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag,Kapital,Eigenkapital / Rücklagen,,A.II. Kapitalrücklage,,Erfassung des Agios aus der Ausgabe von Geschäftsanteilen.,,,,,,
0842,Kapitalrücklage durch Ausgabe von Schuldverschreibungen,Kapital,Eigenkapital / Rücklagen,,A.II. Kapitalrücklage,,Erfassung des Agios aus der Ausgabe von Wandel- oder Optionsanleihen.,,,,,,
0843,Kapitalrücklage gegen Vorzugsgewährung,Kapital,Eigenkapital / Rücklagen,,A.II. Kapitalrücklage,,Erfassung von Zuzahlungen der Gesellschafter für Vorzugsanteile.,,,,,,
0844,Kapitalrücklage durch Zuzahlungen in das Eigenkapital,Kapital,Eigenkapital / Rücklagen,,A.II. Kapitalrücklage,,Erfassung sonstiger Zuzahlungen von Gesellschaftern in das Eigenkapital.,,,,,,
0846,Gesetzliche Rücklage,Kapital,Eigenkapital / Gewinnrücklagen,,A.III.1. Gesetzliche Rücklage,,Erfassung der nach Gesetz zu bildenden Gewinnrücklagen (z.B. bei AG).,,,,,,
0848,Gewinnrücklagen aus Erwerb eigener Anteile,Kapital,Eigenkapital / Gewinnrücklagen,,A.III.2. Rücklage für eigene Anteile,,Bildung einer Rücklage in Höhe der Aufwendungen für den Erwerb eigener Anteile.,,,,,,
0851,Satzungsmäßige Rücklagen,Kapital,Eigenkapital / Gewinnrücklagen,,A.III.3. Satzungsmäßige Rücklagen,,"Bildung von Rücklagen, die auf Satzung oder Gesellschaftsvertrag basieren.",,,,,,
0852,Andere Ergebnisrücklagen,Kapital,Eigenkapital / Gewinnrücklagen,,A.III.4. Andere Gewinnrücklagen,,"Freiwillige, durch Gesellschafterbeschluss gebildete Rücklagen.",,,,,,
0855,Andere Gewinnrücklagen,Kapital,Eigenkapital / Gewinnrücklagen,,A.III.4. Andere Gewinnrücklagen,,"Auffangkonto für sonstige, freiwillig gebildete Gewinnrücklagen.",,,,,,
0856,Eigenkapitalanteil von Wertaufholungen,Kapital,Eigenkapital / Gewinnrücklagen,,A.III.4. Andere Gewinnrücklagen,,"Erfolgswirksame Zuschreibungen auf Vermögensgegenstände, die das Eigenkapital erhöhen.",,,,,,
0859,Latente Steuern (Gewinnrücklage Haben),Kapital,Eigenkapital / Gewinnrücklagen,,A.III.4. Andere Gewinnrücklagen,,"Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Haben).",,,,,,
0860,Gewinnvortrag vor Verwendung,Kapital,Eigenkapital,,A.IV. Gewinnvortrag/Verlustvortrag,,Ausweis des Gewinns aus dem Vorjahr vor Beschluss über die Gewinnverwendung.,,,,,,
0868,Verlustvortrag vor Verwendung,Kapital,Eigenkapital,,A.IV. Gewinnvortrag/Verlustvortrag (negativ),,Ausweis des Verlusts aus dem Vorjahr vor Beschluss über die Verlustverrechnung.,,,,,,
0869,Vortrag auf neue Rechnung (Bilanz),Kapital,Eigenkapital,,A.IV. Gewinnvortrag/Verlustvortrag,,Technisches Vortragskonto für die Eröffnungsbilanz,,,,,,
0870,Festkapital,Kapital,Eigenkapital (Personengesellschaft),,A. Kapitalanteile der Vollhafter,,Erfassung der festen Kapitalanteile der Gesellschafter bei Personengesellschaften.,,,,,,
0880,Variables Kapital,Kapital,Eigenkapital (Personengesellschaft),,A. Kapitalanteile der Vollhafter,,"Erfassung der variablen Kapitalanteile (z.B. aus Gewinn, Verlust, Entnahmen) bei Personengesellschaften.",,,,,,
0910,Verlustausgleichskonto,Kapital,Eigenkapital (Personengesellschaft),,A. Kapitalanteile der Vollhafter,,Verrechnungskonto für Verluste der Gesellschafter bei Personengesellschaften.,,,,,,
0955,Steuerrückstellungen,Rückstellung,Kurzfristige Rückstellungen,,C.2. Steuerrückstellungen,,Sammelkonto für ungewisse Steuerverbindlichkeiten (z.B. für Betriebsprüfung).,,,,,,
0956,"Gewerbesteuerrückstellung, § 4 Abs. 5b EStG",Rückstellung,Kurzfristige Rückstellungen,,C.2. Steuerrückstellungen,,Rückstellung für die voraussichtliche Gewerbesteuerschuld des laufenden Jahres.,,,,,,
0962,Steuerrückstellung aus Steuerstundung (BStBK),Rückstellung,Kurzfristige Rückstellungen,,C.2. Steuerrückstellungen,,"Rückstellung für gestundete, aber wirtschaftlich ins Jahr gehörende Steuern.",,,,,,
0963,Körperschaftsteuerrückstellung,Rückstellung,Kurzfristige Rückstellungen,,C.2. Steuerrückstellungen,,Rückstellung für die voraussichtliche Körperschaftsteuerschuld des laufenden Jahres.,,,,,,
0965,Rückstellungen für Personalkosten,Rückstellung,Kurzfristige Rückstellungen,,C.3. Sonstige Rückstellungen,,"Rückstellungen für z.B. ausstehende Tantiemen, Boni oder Überstundenvergütungen.",,,,,,
0966,Rückstellungen zur Erfüllung der Aufbewahrungspflichten,Rückstellung,Sonstige Rückstellungen,,C.3. Sonstige Rückstellungen,,Rückstellung für die Kosten der Aufbewahrung von Geschäftsunterlagen.,,,,,,
0967,Rückstellungen für Altersversorgung vergleichb. Verpfl. §246 Abs.2 HGB,Rückstellung,Langfristige Rückstellungen,,C.1. Rückstellungen für Pensionen und ähnliche Verpflichtungen,,Verrechnung dieser Rückstellungen mit Deckungsvermögen (Saldierungsgebot).,,,,,,
0968,Passive latente Steuern,Rückstellung,Latente Steuern,,E. Passive latente Steuern,,Passivierung zukünftiger Steuerbelastungen aus temporären Differenzen zwischen Handels- und Steuerbilanz.,,,,,,
0969,w,Rückstellung,Latente Steuern,,E. Passive latente Steuern,,Alternativkonto für passive latente Steuern.,,,,,,
0970,Sonstige Rückstellungen,Rückstellung,Sonstige Rückstellungen,,C.3. Sonstige Rückstellungen,,Sammelkonto für alle sonstigen ungewissen Verbindlichkeiten.,,,,,,
0971,Rückstellung für unterlassene Aufwendungen,Rückstellung,Aufwandsrückstellungen,,C.3. Sonstige Rückstellungen,,"Rückstellung für Instandhaltung, die im Geschäftsjahr unterlassen, aber im Folgejahr nachgeholt wird.",,,,,,
0973,Rückstellung für Abraum- und Abfallbeseitigung,Rückstellung,Aufwandsrückstellungen,,C.3. Sonstige Rückstellungen,,Rückstellung für zukünftige Verpflichtungen zur Rekultivierung oder Entsorgung.,,,,,,
0974,Rückstellungen für Gewährleistungen,Rückstellung,Sonstige Rückstellungen,,C.3. Sonstige Rückstellungen,,Rückstellung für erwartete Inanspruchnahmen aus Garantie- und Gewährleistungsverpflichtungen.,,,,,,
0976,Rückstellungen für drohende Verluste aus schwebenden Geschäften,Rückstellung,Sonstige Rückstellungen,,C.3. Sonstige Rückstellungen,,Rückstellung für erwartete Verluste aus noch nicht erfüllten Verträgen (z.B. Einkaufs- oder Verkaufsverträge).,,,,,,
0977,Rückstellungen für Abschluss- und Prüfungskosten,Rückstellung,Sonstige Rückstellungen,,C.3. Sonstige Rückstellungen,,Rückstellung für die Kosten der Erstellung und Prüfung des Jahresabschlusses.,,,,,,
0978,Aufwandsrückstellungen (§ 249 Abs. 2 HGB),Rückstellung,Aufwandsrückstellungen,,C.3. Sonstige Rückstellungen,,"Sammelkonto für Aufwandsrückstellungen (z.B. Instandhaltung, Abraumbeseitigung).",,,,,,
0980,Aktive Rechnungsabgrenzung (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,C. Rechnungsabgrenzungsposten,,,"Abgrenzung von Ausgaben, die Aufwand für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.",,,,,,
0983,Aktive latente Steuern (Rechnungsabgrenzungsposten),ARAP,Latente Steuern,D. Aktive latente Steuern,,,Aktivierung zukünftiger Steuerentlastungen aus temporären Differenzen zwischen Handels- und Steuerbilanz.,,,,,,
0984,Aufwand Zölle und Verbrauchsteuern (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,C. Rechnungsabgrenzungsposten,,,Abgrenzung von im Voraus bezahlten Zöllen und Verbrauchssteuern.,,,,,,
0985,Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,C. Rechnungsabgrenzungsposten,,,Periodengerechte Abgrenzung der nicht abziehbaren Vorsteuer auf Anzahlungen.,,,,,,
0986,Damnum / Disagio (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,C. Rechnungsabgrenzungsposten,,,Aktivierung und planmäßige Abschreibung eines bei Darlehensaufnahme gezahlten Disagios.,,,,,,
0987,Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsn. Verrechnungen,Kapital,Eigenkapital (Minderung),,A.III.4. Andere Gewinnrücklagen (als Minderung),,"Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Soll).",,,,,,
0988,Latente Steuern (Gewinnrückl. Soll) aus erfolgsneutr. Verr.,Kapital,Eigenkapital (Minderung),,A.III.4. Andere Gewinnrücklagen (als Minderung),,"Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Soll).",,,,,,
0990,Passive Rechnungsabgrenzung,PRAP,Rechnungsabgrenzung,,D. Rechnungsabgrenzungsposten,,"Abgrenzung von Einnahmen, die Ertrag für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.",,,,,,
0996,Pauschalwertberichtigung auf Forderungen,Forderungen,Wertberichtigung,B.II. Forderungen ... (als Abzug),,,Bildung einer pauschalen Wertberichtigung zur Abdeckung des allgemeinen Kreditrisikos.,,,,,,
0997,Pauschalwertberichtigung auf Forderungen größer 1 Jahr,Forderungen,Wertberichtigung,B.II. Forderungen ... (als Abzug),,,Separate Bildung einer PWB für langfristige Forderungen.,,,,,,
0998,Einzelwertberichtigung auf Forderungen,Forderungen,Wertberichtigung,B.II. Forderungen ... (als Abzug),,,"Bildung einer Einzelwertberichtigung für spezifische, zweifelhafte Forderungen.",,,,,,
0999,Einzelwertberichtigung auf Forderungen größer 1 Jahr,Forderungen,Wertberichtigung,B.II. Forderungen ... (als Abzug),,,"Separate Bildung einer EWB für langfristige, zweifelhafte Forderungen.",,,,,,
1000,Bargeld Kasse,Finanzkonto,Liquide Mittel,B.IV. Kassenbestand...,,,Erfassung des physischen Bargeldbestands in der Geschäftskasse.,,,,,,
1370,Gewinnermittlung § 4/3 EStG ergebniswirksam,Forderungen,Verrechnungskonto EÜR,Technisches Konto für EÜR,,,Technisches Konto zur Ergebnisermittlung bei Einnahmen-Überschuss-Rechnung.,,,,,,
1371,Gewinnermittlung § 4/3 EStG nicht ergebniswirksam,Forderungen,Verrechnungskonto EÜR,Technisches Konto für EÜR,,,Technisches Konto für nicht ergebniswirksame Posten bei Einnahmen-Überschuss-Rechnung.,,,,,,
1380,Überleitungskonto Kostenstelle,Forderungen,Verrechnungskonto KLR,Technisches Konto,,,"Verrechnungskonto für die Kostenstellenrechnung, sollte am Periodenende ausgeglichen sein.",,,,,,
1390,Verrechnungskonto Ist-Versteuerung,Interimskonto,Verrechnungskonto USt,Technisches Konto,,,Verrechnungskonto bei Umstellung der Versteuerungsart (Soll-/Ist-Versteuerung).,,,,,,
1400,Forderungen aus Lieferungen und Leistungen,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,Sammelkonto für offene Kundenrechnungen (Debitoren).,,,,,,
1410,Forderungen aus Lieferungen und Leistungen ohne Kontokorrent,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,"Für Debitoren, die nicht über ein Personenkonto geführt werden.",,,,,,
1445,Forderungen aus Lieferungen und Leistungen zum allgemeinen Steuersatz,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,Detaillierung der Forderungen nach Umsatzsteuersatz (hier: Regelsteuersatz).,,,,,,
1446,Forderungen aus Lieferungen und Leistungen zum ermäßigten Steuersatz,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,Detaillierung der Forderungen nach Umsatzsteuersatz (hier: ermäßigter Steuersatz).,,,,,,
1447,Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,Detaillierung der Forderungen aus steuerfreien/nicht steuerbaren Umsätzen.,,,,,,
1448,Forderungen aus Lieferungen und Leistungen gemäß § 24 UStG,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,Forderungen aus Umsätzen für pauschalierende Land- und Forstwirte.,,,,,,
1450,Forderungen nach § 11 Abs. 1 Satz 2 EStG für § 4 Abs. 3 EStG,Forderungen,Forderungen aus LuL,Technisches Konto für EÜR,,,Abgrenzung von regelmäßig wiederkehrenden Einnahmen bei EÜR.,,,,,,
1451,Forderungen aus Lieferungen und Leistungen bis 1 Jahr,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,Forderungen mit einer Restlaufzeit von bis zu einem Jahr.,,,,,,
1455,Forderungen aus Lieferungen und Leistungen größer 1 Jahr,Forderungen,Forderungen aus LuL,B.II.1. Forderungen aus Lieferungen und Leistungen,,,Forderungen mit einer Restlaufzeit von mehr als einem Jahr.,,,,,,
1490,Forderungen aus Lieferungen und Leistungen gegen Gesellschafter,Forderungen,Forderungen gegen Gesellschafter,B.II.3. Forderungen gegen Gesellschafter,,,Offene Rechnungen aus Lieferungen und Leistungen an Gesellschafter.,,,,,,
1491,Forderungen aus Lieferungen und Leistungen gegen Gesellschafter bis 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,B.II.3. Forderungen gegen Gesellschafter,,,Forderungen an Gesellschafter mit einer Restlaufzeit bis zu einem Jahr.,,,,,,
1495,Forderungen aus Lieferungen und Leistungen gegen Gesellschafter größer 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,B.II.3. Forderungen gegen Gesellschafter,,,Forderungen an Gesellschafter mit einer Restlaufzeit von mehr als einem Jahr.,,,,,,
1500,Sonstige Vermögensgegenstände,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,"Sammelkonto für Forderungen, die nicht aus LuL oder gegen verbundene Unternehmen stammen.",,,,,,
1501,Sonstige Vermögensgegenstände bis 1 Jahr,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Sonstige Forderungen mit einer Restlaufzeit von bis zu einem Jahr.,,,,,,
1502,Sonstige Vermögensgegenstände größer 1 Jahr,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Sonstige Forderungen mit einer Restlaufzeit von mehr als einem Jahr.,,,,,,
1503,Forderungen gegen Geschäftsführer bis 1 Jahr,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Forderungen (z.B. Darlehen) gegen Geschäftsführer mit Restlaufzeit bis 1 Jahr.,,,,,,
1504,Forderungen gegen Geschäftsführer größer 1 Jahr,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Forderungen (z.B. Darlehen) gegen Geschäftsführer mit Restlaufzeit über 1 Jahr.,,,,,,
1507,Forderungen gegen Gesellschafter - Restlaufzeit bis 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,B.II.3. Forderungen gegen Gesellschafter,,,Nicht aus LuL stammende Forderungen an Gesellschafter mit Restlaufzeit bis 1 Jahr.,,,,,,
1508,Forderungen gegen Gesellschafter - Restlaufzeit größer 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,B.II.3. Forderungen gegen Gesellschafter,,,Nicht aus LuL stammende Forderungen an Gesellschafter mit Restlaufzeit über 1 Jahr.,,,,,,
1520,Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Erstattungsansprüche für Lohnfortzahlung bei Krankheit (U1) oder Mutterschaft (U2).,,,,,,
1521,Agenturwarenabrechnung (Forderung),Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Forderungen aus der Abrechnung von Waren im Agenturgeschäft.,,,,,,
1528,"Nachträglich abziehbare Vorsteuer, § 15a Abs. 2 UStG",Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Vorsteuerkorrektur nach § 15a UStG zu Gunsten des Unternehmens.,64,9,verauslagte Vorsteuern,,,
1529,"Zurückzuzahlende Vorsteuer, § 15a Abs. 2 UStG",Vorsteuer,Verbindlichkeiten ggü. Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände (negativ),,,Vorsteuerkorrektur nach § 15a UStG zu Lasten des Unternehmens.,64,9,verauslagte Vorsteuern,,,
1530,Forderungen an Mitarbeiter,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,"Forderungen an Mitarbeiter (z.B. Lohnvorschüsse, Darlehen).",,,,,,
1531,Forderungen an Mitarbeiter bis 1 Jahr,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Forderungen an Mitarbeiter mit einer Restlaufzeit von bis zu einem Jahr.,,,,,,
1537,Forderungen an Mitarbeiter größer 1 Jahr,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Forderungen an Mitarbeiter mit einer Restlaufzeit von mehr als einem Jahr.,,,,,,
1540,Forderungen aus Steuerüberzahlungen,Forderungen,Forderungen an Finanzamt,B.II.4. Sonstige Vermögensgegenstände,,,Sammelkonto für Steuererstattungsansprüche (außer USt).,,,,,,
1542,Steuererstattungsansprüche gegenüber anderen Ländern,Forderungen,Forderungen an Finanzamt,B.II.4. Sonstige Vermögensgegenstände,,,Erstattungsansprüche für im Ausland gezahlte Steuern.,,,,,,
1543,Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag,Forderungen,Forderungen an Finanzamt,B.II.4. Sonstige Vermögensgegenstände,,,Anrechenbare Bauabzugsteuer nach § 48 EStG.,,,,,,
1544,Forderungen gegenüber Bundesagentur für Arbeit,Forderungen,Sonstige Forderungen,B.II.4. Sonstige Vermögensgegenstände,,,Forderungen z.B. aus Kurzarbeitergeld oder Eingliederungszuschüssen.,,,,,,
1545,Umsatzsteuerforderungen,Forderungen,Forderungen an Finanzamt (USt),B.II.4. Sonstige Vermögensgegenstände,,,Umsatzsteuer-Erstattungsanspruch aus der laufenden USt-Voranmeldung.,,,Umsatzsteuererstattungen,,,
1546,Umsatzsteuerforderungen Vorjahr,Forderungen,Forderungen an Finanzamt (USt),B.II.4. Sonstige Vermögensgegenstände,,,Umsatzsteuer-Erstattungsanspruch aus der Jahreserklärung des Vorjahres.,,,Umsatzsteuererstattungen,,,
1547,Forderungen aus Verbrauchsteuern,Forderungen,Forderungen an Finanzamt,B.II.4. Sonstige Vermögensgegenstände,,,Erstattungsansprüche aus Verbrauchsteuern (z.B. Energiesteuer).,,,,,,
1548,Vorsteuer im Folgejahr abziehbar,Forderungen,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,"Abgrenzung von Vorsteuer, die erst im Folgejahr geltend gemacht werden kann.",,,verauslagte Vorsteuern,,,
1549,Körperschaftsteuerrückforderung,Forderungen,Forderungen an Finanzamt,B.II.4. Sonstige Vermögensgegenstände,,,Erstattungsanspruch aus Körperschaftsteuer-Vorauszahlungen.,,,,,,
1550,Gewährte Darlehen,Forderungen,Ausleihungen,A.III.5. Sonstige Ausleihungen,,,An Dritte ausgereichte Darlehen.,,,,,,
1551,Gewährte Darlehen - Restlaufzeit bis 1 Jahr,Forderungen,Ausleihungen,B.II.4. Sonstige Vermögensgegenstände,,,An Dritte ausgereichte Darlehen mit Restlaufzeit bis 1 Jahr.,,,,,,
1555,Gewährte Darlehen - Restlaufzeit größer 1 Jahr,Forderungen,Ausleihungen,A.III.5. Sonstige Ausleihungen,,,An Dritte ausgereichte Darlehen mit Restlaufzeit über 1 Jahr.,,,,,,
1556,"Nachträglich abziehbare Vorsteuer, bewegliche Wirtschaftsgüter",Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Vorsteuerkorrektur nach § 15a UStG für bewegliche WG zu Gunsten des Unternehmens.,64,9,verauslagte Vorsteuern,,,
1557,"Zurückzuzahlende Vorsteuer, bewegliche Wirtschaftsgüter",Vorsteuer,Verbindlichkeiten ggü. Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände (negativ),,,Vorsteuerkorrektur nach § 15a UStG für bewegliche WG zu Lasten des Unternehmens.,64,9,verauslagte Vorsteuern,,,
1560,Aufzuteilende Vorsteuer,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Verrechnungskonto für Vorsteuer, die teilweise abziehbar ist (z.B. bei gemischt genutzten Gebäuden).",,,verauslagte Vorsteuern,,,
