Konto-Nr.,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Kontoart,Handlungshilfe,Standard-Ggkto.,UStVA_Kennz.,Steuerschluessel,USt_Berichtskat.,Automatikkonto,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position
0819,Erworbene eigene Anteile,Kapital,Eigenkapital (Minderung),Passivkonto,Offener Abzug vom gezeichneten Kapital zum Nennwert.,1200,,,,Nein,,A.I. Gezeichnetes Kapital (als Abzug),
0840,Kapitalrücklage,Kapital,Eigenkapital / Rücklagen,Passivkonto,Sammelkonto für Kapitalrücklagen gemäß § 272 Abs. 2 HGB.,,,,,Nein,,A.II. Kapitalrücklage,
0841,Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag,Kapital,Eigenkapital / Rücklagen,Passivkonto,Erfassung des Agios aus der Ausgabe von Geschäftsanteilen.,1200,,,,Nein,,A.II. Kapitalrücklage,
0842,Kapitalrücklage durch Ausgabe von Schuldverschreibungen,Kapital,Eigenkapital / Rücklagen,Passivkonto,Erfassung des Agios aus der Ausgabe von Wandel- oder Optionsanleihen.,1200,,,,Nein,,A.II. Kapitalrücklage,
0843,Kapitalrücklage gegen Vorzugsgewährung,Kapital,Eigenkapital / Rücklagen,Passivkonto,Erfassung von Zuzahlungen der Gesellschafter für Vorzugsanteile.,1200,,,,Nein,,A.II. Kapitalrücklage,
0844,Kapitalrücklage durch Zuzahlungen in das Eigenkapital,Kapital,Eigenkapital / Rücklagen,Passivkonto,Erfassung sonstiger Zuzahlungen von Gesellschaftern in das Eigenkapital.,1200,,,,Nein,,A.II. Kapitalrücklage,
0846,Gesetzliche Rücklage,Kapital,Eigenkapital / Gewinnrücklagen,Passivkonto,Erfassung der nach Gesetz zu bildenden Gewinnrücklagen (z.B. bei AG).,2869,,,,Nein,,A.III.1. Gesetzliche Rücklage,
0848,Gewinnrücklagen aus Erwerb eigener Anteile,Kapital,Eigenkapital / Gewinnrücklagen,Passivkonto,Bildung einer Rücklage in Höhe der Aufwendungen für den Erwerb eigener Anteile.,,,,,Nein,,A.III.2. Rücklage für eigene Anteile,
0851,Satzungsmäßige Rücklagen,Kapital,Eigenkapital / Gewinnrücklagen,Passivkonto,"Bildung von Rücklagen, die auf Satzung oder Gesellschaftsvertrag basieren.",2869,,,,Nein,,A.III.3. Satzungsmäßige Rücklagen,
0852,Andere Ergebnisrücklagen,Kapital,Eigenkapital / Gewinnrücklagen,Passivkonto,"Freiwillige, durch Gesellschafterbeschluss gebildete Rücklagen.",2869,,,,Nein,,A.III.4. Andere Gewinnrücklagen,
0855,Andere Gewinnrücklagen,Kapital,Eigenkapital / Gewinnrücklagen,Passivkonto,"Auffangkonto für sonstige, freiwillig gebildete Gewinnrücklagen.",2869,,,,Nein,,A.III.4. Andere Gewinnrücklagen,
0856,Eigenkapitalanteil von Wertaufholungen,Kapital,Eigenkapital / Gewinnrücklagen,Passivkonto,"Erfolgswirksame Zuschreibungen auf Vermögensgegenstände, die das Eigenkapital erhöhen.",,,,,Nein,,A.III.4. Andere Gewinnrücklagen,
0859,Latente Steuern (Gewinnrücklage Haben),Kapital,Eigenkapital / Gewinnrücklagen,Passivkonto,"Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Haben).",,,,,Nein,,A.III.4. Andere Gewinnrücklagen,
0860,Gewinnvortrag vor Verwendung,Kapital,Eigenkapital,Passivkonto,Ausweis des Gewinns aus dem Vorjahr vor Beschluss über die Gewinnverwendung.,,,,,Nein,,A.IV. Gewinnvortrag/Verlustvortrag,
0868,Verlustvortrag vor Verwendung,Kapital,Eigenkapital,Passivkonto,Ausweis des Verlusts aus dem Vorjahr vor Beschluss über die Verlustverrechnung.,,,,,Nein,,A.IV. Gewinnvortrag/Verlustvortrag (negativ),
0869,Vortrag auf neue Rechnung (Bilanz),Kapital,Eigenkapital,Passivkonto,Technisches Vortragskonto für die Eröffnungsbilanz; wird auf Gewinn-/Verlustvortrag umgebucht.,,,,,Nein,,A.IV. Gewinnvortrag/Verlustvortrag,
0870,Festkapital,Kapital,Eigenkapital (Personengesellschaft),Passivkonto,Erfassung der festen Kapitalanteile der Gesellschafter bei Personengesellschaften.,,,,,Nein,,A. Kapitalanteile der Vollhafter,
0880,Variables Kapital,Kapital,Eigenkapital (Personengesellschaft),Passivkonto,"Erfassung der variablen Kapitalanteile (z.B. aus Gewinn, Verlust, Entnahmen) bei Personengesellschaften.",,,,,Nein,,A. Kapitalanteile der Vollhafter,
0910,Verlustausgleichskonto,Kapital,Eigenkapital (Personengesellschaft),Passivkonto,Verrechnungskonto für Verluste der Gesellschafter bei Personengesellschaften.,,,,,Nein,,A. Kapitalanteile der Vollhafter,
0955,Steuerrückstellungen,Rückstellung,Kurzfristige Rückstellungen,Passivkonto,Sammelkonto für ungewisse Steuerverbindlichkeiten (z.B. für Betriebsprüfung).,,,,,Nein,,C.2. Steuerrückstellungen,
0956,"Gewerbesteuerrückstellung, § 4 Abs. 5b EStG",Rückstellung,Kurzfristige Rückstellungen,Passivkonto,Rückstellung für die voraussichtliche Gewerbesteuerschuld des laufenden Jahres.,2280,,,,Nein,,C.2. Steuerrückstellungen,
0962,Steuerrückstellung aus Steuerstundung (BStBK),Rückstellung,Kurzfristige Rückstellungen,Passivkonto,"Rückstellung für gestundete, aber wirtschaftlich ins Jahr gehörende Steuern.",,,,,Nein,,C.2. Steuerrückstellungen,
0963,Körperschaftsteuerrückstellung,Rückstellung,Kurzfristige Rückstellungen,Passivkonto,Rückstellung für die voraussichtliche Körperschaftsteuerschuld des laufenden Jahres.,2200,,,,Nein,,C.2. Steuerrückstellungen,
0965,Rückstellungen für Personalkosten,Rückstellung,Kurzfristige Rückstellungen,Passivkonto,"Rückstellungen für z.B. ausstehende Tantiemen, Boni oder Überstundenvergütungen.",,,,,Nein,,C.3. Sonstige Rückstellungen,
0966,Rückstellungen zur Erfüllung der Aufbewahrungspflichten,Rückstellung,Sonstige Rückstellungen,Passivkonto,Rückstellung für die Kosten der Aufbewahrung von Geschäftsunterlagen.,4900,,,,Nein,,C.3. Sonstige Rückstellungen,
0967,Rückstellungen für Altersversorgung vergleichb. Verpfl. §246 Abs.2 HGB,Rückstellung,Langfristige Rückstellungen,Passivkonto,Verrechnung dieser Rückstellungen mit Deckungsvermögen (Saldierungsgebot).,,,,,Nein,,C.1. Rückstellungen für Pensionen und ähnliche Verpflichtungen,
0968,Passive latente Steuern,Rückstellung,Latente Steuern,Passivkonto,Passivierung zukünftiger Steuerbelastungen aus temporären Differenzen zwischen Handels- und Steuerbilanz.,2400,,,,Nein,,E. Passive latente Steuern,
0969,Rückstellung für latente Steuern,Rückstellung,Latente Steuern,Passivkonto,Alternativkonto für passive latente Steuern.,2400,,,,Nein,,E. Passive latente Steuern,
0970,Sonstige Rückstellungen,Rückstellung,Sonstige Rückstellungen,Passivkonto,Sammelkonto für alle sonstigen ungewissen Verbindlichkeiten.,,,,,Nein,,C.3. Sonstige Rückstellungen,
0971,Rückstellung für unterlassene Aufwendungen,Rückstellung,Aufwandsrückstellungen,Passivkonto,"Rückstellung für Instandhaltung, die im Geschäftsjahr unterlassen, aber im Folgejahr nachgeholt wird.",4800,,,,Nein,,C.3. Sonstige Rückstellungen,
0973,Rückstellung für Abraum- und Abfallbeseitigung,Rückstellung,Aufwandsrückstellungen,Passivkonto,Rückstellung für zukünftige Verpflichtungen zur Rekultivierung oder Entsorgung.,4900,,,,Nein,,C.3. Sonstige Rückstellungen,
0974,Rückstellungen für Gewährleistungen,Rückstellung,Sonstige Rückstellungen,Passivkonto,Rückstellung für erwartete Inanspruchnahmen aus Garantie- und Gewährleistungsverpflichtungen.,4760,,,,Nein,,C.3. Sonstige Rückstellungen,
0976,Rückstellungen für drohende Verluste aus schwebenden Geschäften,Rückstellung,Sonstige Rückstellungen,Passivkonto,Rückstellung für erwartete Verluste aus noch nicht erfüllten Verträgen (z.B. Einkaufs- oder Verkaufsverträge).,,,,,Nein,,C.3. Sonstige Rückstellungen,
0977,Rückstellungen für Abschluss- und Prüfungskosten,Rückstellung,Sonstige Rückstellungen,Passivkonto,Rückstellung für die Kosten der Erstellung und Prüfung des Jahresabschlusses.,4950,,,,Nein,,C.3. Sonstige Rückstellungen,
0978,Aufwandsrückstellungen (§ 249 Abs. 2 HGB),Rückstellung,Aufwandsrückstellungen,Passivkonto,"Sammelkonto für Aufwandsrückstellungen (z.B. Instandhaltung, Abraumbeseitigung).",,,,,Nein,,C.3. Sonstige Rückstellungen,
0980,Aktive Rechnungsabgrenzung (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,Aktivkonto,"Abgrenzung von Ausgaben, die Aufwand für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.",,,,,Nein,C. Rechnungsabgrenzungsposten,,
0983,Aktive latente Steuern (Rechnungsabgrenzungsposten),ARAP,Latente Steuern,Aktivkonto,Aktivierung zukünftiger Steuerentlastungen aus temporären Differenzen zwischen Handels- und Steuerbilanz.,2400,,,,Nein,D. Aktive latente Steuern,,
0984,Aufwand Zölle und Verbrauchsteuern (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,Aktivkonto,Abgrenzung von im Voraus bezahlten Zöllen und Verbrauchssteuern.,,,,,Nein,C. Rechnungsabgrenzungsposten,,
0985,Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,Aktivkonto,Periodengerechte Abgrenzung der nicht abziehbaren Vorsteuer auf Anzahlungen.,,,,,Nein,C. Rechnungsabgrenzungsposten,,
0986,Damnum / Disagio (Rechnungsabgrenzungsposten),ARAP,Rechnungsabgrenzung,Aktivkonto,Aktivierung und planmäßige Abschreibung eines bei Darlehensaufnahme gezahlten Disagios.,,,,,Nein,C. Rechnungsabgrenzungsposten,,
0987,Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsn. Verrechnungen,Kapital,Eigenkapital (Minderung),Passivkonto,"Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Soll).",,,,,Nein,,A.III.4. Andere Gewinnrücklagen (als Minderung),
0988,Latente Steuern (Gewinnrückl. Soll) aus erfolgsneutr. Verr.,Kapital,Eigenkapital (Minderung),Passivkonto,"Verrechnung von latenten Steuern, die erfolgsneutral direkt mit dem Eigenkapital verrechnet werden (Soll).",,,,,Nein,,A.III.4. Andere Gewinnrücklagen (als Minderung),
0990,Passive Rechnungsabgrenzung,PRAP,Rechnungsabgrenzung,Passivkonto,"Abgrenzung von Einnahmen, die Ertrag für eine bestimmte Zeit nach dem Bilanzstichtag darstellen.",,,,,Nein,,D. Rechnungsabgrenzungsposten,
0996,Pauschalwertberichtigung auf Forderungen,Forderungen,Wertberichtigung,Aktivkonto,Bildung einer pauschalen Wertberichtigung zur Abdeckung des allgemeinen Kreditrisikos.,2451,,,,Nein,B.II. Forderungen ... (als Abzug),,
0997,Pauschalwertberichtigung auf Forderungen größer 1 Jahr,Forderungen,Wertberichtigung,Aktivkonto,Separate Bildung einer PWB für langfristige Forderungen.,2451,,,,Nein,B.II. Forderungen ... (als Abzug),,
0998,Einzelwertberichtigung auf Forderungen,Forderungen,Wertberichtigung,Aktivkonto,"Bildung einer Einzelwertberichtigung für spezifische, zweifelhafte Forderungen.",2451,,,,Nein,B.II. Forderungen ... (als Abzug),,
0999,Einzelwertberichtigung auf Forderungen größer 1 Jahr,Forderungen,Wertberichtigung,Aktivkonto,"Separate Bildung einer EWB für langfristige, zweifelhafte Forderungen.",2451,,,,Nein,B.II. Forderungen ... (als Abzug),,
1000,Bargeld Kasse,Finanzkonto,Liquide Mittel,Aktivkonto,Erfassung des physischen Bargeldbestands in der Geschäftskasse.,,,,,Nein,B.IV. Kassenbestand...,,
1370,Gewinnermittlung § 4/3 EStG ergebniswirksam,Forderungen,Verrechnungskonto EÜR,Aktivkonto,Technisches Konto zur Ergebnisermittlung bei Einnahmen-Überschuss-Rechnung.,,,,,Nein,Technisches Konto für EÜR,,
1371,Gewinnermittlung § 4/3 EStG nicht ergebniswirksam,Forderungen,Verrechnungskonto EÜR,Aktivkonto,Technisches Konto für nicht ergebniswirksame Posten bei Einnahmen-Überschuss-Rechnung.,,,,,Nein,Technisches Konto für EÜR,,
1380,Überleitungskonto Kostenstelle,Forderungen,Verrechnungskonto KLR,Aktivkonto,"Verrechnungskonto für die Kostenstellenrechnung, sollte am Periodenende ausgeglichen sein.",,,,,Nein,Technisches Konto,,
1390,Verrechnungskonto Ist-Versteuerung,Interimskonto,Verrechnungskonto USt,Aktivkonto,Verrechnungskonto bei Umstellung der Versteuerungsart (Soll-/Ist-Versteuerung).,,,,,Nein,Technisches Konto,,
1400,Forderungen aus Lieferungen und Leistungen,Forderungen,Forderungen aus LuL,Aktivkonto,Sammelkonto für offene Kundenrechnungen (Debitoren).,8400,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1410,Forderungen aus Lieferungen und Leistungen ohne Kontokorrent,Forderungen,Forderungen aus LuL,Aktivkonto,"Für Debitoren, die nicht über ein Personenkonto geführt werden.",8400,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1445,Forderungen aus Lieferungen und Leistungen zum allgemeinen Steuersatz,Forderungen,Forderungen aus LuL,Aktivkonto,Detaillierung der Forderungen nach Umsatzsteuersatz (hier: Regelsteuersatz).,8400,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1446,Forderungen aus Lieferungen und Leistungen zum ermäßigten Steuersatz,Forderungen,Forderungen aus LuL,Aktivkonto,Detaillierung der Forderungen nach Umsatzsteuersatz (hier: ermäßigter Steuersatz).,8300,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1447,Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen,Forderungen,Forderungen aus LuL,Aktivkonto,Detaillierung der Forderungen aus steuerfreien/nicht steuerbaren Umsätzen.,8100,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1448,Forderungen aus Lieferungen und Leistungen gemäß § 24 UStG,Forderungen,Forderungen aus LuL,Aktivkonto,Forderungen aus Umsätzen für pauschalierende Land- und Forstwirte.,,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1450,Forderungen nach § 11 Abs. 1 Satz 2 EStG für § 4 Abs. 3 EStG,Forderungen,Forderungen aus LuL,Aktivkonto,Abgrenzung von regelmäßig wiederkehrenden Einnahmen bei EÜR.,,,,,Nein,Technisches Konto für EÜR,,
1451,Forderungen aus Lieferungen und Leistungen bis 1 Jahr,Forderungen,Forderungen aus LuL,Aktivkonto,Forderungen mit einer Restlaufzeit von bis zu einem Jahr.,8400,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1455,Forderungen aus Lieferungen und Leistungen größer 1 Jahr,Forderungen,Forderungen aus LuL,Aktivkonto,Forderungen mit einer Restlaufzeit von mehr als einem Jahr.,8400,,,,Nein,B.II.1. Forderungen aus Lieferungen und Leistungen,,
1490,Forderungen aus Lieferungen und Leistungen gegen Gesellschafter,Forderungen,Forderungen gegen Gesellschafter,Aktivkonto,Offene Rechnungen aus Lieferungen und Leistungen an Gesellschafter.,8400,,,,Nein,B.II.3. Forderungen gegen Gesellschafter,,
1491,Forderungen aus Lieferungen und Leistungen gegen Gesellschafter bis 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,Aktivkonto,Forderungen an Gesellschafter mit einer Restlaufzeit bis zu einem Jahr.,8400,,,,Nein,B.II.3. Forderungen gegen Gesellschafter,,
1495,Forderungen aus Lieferungen und Leistungen gegen Gesellschafter größer 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,Aktivkonto,Forderungen an Gesellschafter mit einer Restlaufzeit von mehr als einem Jahr.,8400,,,,Nein,B.II.3. Forderungen gegen Gesellschafter,,
1500,Sonstige Vermögensgegenstände,Forderungen,Sonstige Forderungen,Aktivkonto,"Sammelkonto für Forderungen, die nicht aus LuL oder gegen verbundene Unternehmen stammen.",,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1501,Sonstige Vermögensgegenstände bis 1 Jahr,Forderungen,Sonstige Forderungen,Aktivkonto,Sonstige Forderungen mit einer Restlaufzeit von bis zu einem Jahr.,,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1502,Sonstige Vermögensgegenstände größer 1 Jahr,Forderungen,Sonstige Forderungen,Aktivkonto,Sonstige Forderungen mit einer Restlaufzeit von mehr als einem Jahr.,,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1503,Forderungen gegen Geschäftsführer bis 1 Jahr,Forderungen,Sonstige Forderungen,Aktivkonto,Forderungen (z.B. Darlehen) gegen Geschäftsführer mit Restlaufzeit bis 1 Jahr.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1504,Forderungen gegen Geschäftsführer größer 1 Jahr,Forderungen,Sonstige Forderungen,Aktivkonto,Forderungen (z.B. Darlehen) gegen Geschäftsführer mit Restlaufzeit über 1 Jahr.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1507,Forderungen gegen Gesellschafter - Restlaufzeit bis 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,Aktivkonto,Nicht aus LuL stammende Forderungen an Gesellschafter mit Restlaufzeit bis 1 Jahr.,1200,,,,Nein,B.II.3. Forderungen gegen Gesellschafter,,
1508,Forderungen gegen Gesellschafter - Restlaufzeit größer 1 Jahr,Forderungen,Forderungen gegen Gesellschafter,Aktivkonto,Nicht aus LuL stammende Forderungen an Gesellschafter mit Restlaufzeit über 1 Jahr.,1200,,,,Nein,B.II.3. Forderungen gegen Gesellschafter,,
1520,Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz,Forderungen,Sonstige Forderungen,Aktivkonto,Erstattungsansprüche für Lohnfortzahlung bei Krankheit (U1) oder Mutterschaft (U2).,4110,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1521,Agenturwarenabrechnung (Forderung),Forderungen,Sonstige Forderungen,Aktivkonto,Forderungen aus der Abrechnung von Waren im Agenturgeschäft.,,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1528,"Nachträglich abziehbare Vorsteuer, § 15a Abs. 2 UStG",Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Vorsteuerkorrektur nach § 15a UStG zu Gunsten des Unternehmens.,,64,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1529,"Zurückzuzahlende Vorsteuer, § 15a Abs. 2 UStG",Vorsteuer,Verbindlichkeiten ggü. Finanzamt (Vorsteuer),Passivkonto,Vorsteuerkorrektur nach § 15a UStG zu Lasten des Unternehmens.,,64,9,Verauslagte Vorsteuern,Ja,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1530,Forderungen an Mitarbeiter,Forderungen,Sonstige Forderungen,Aktivkonto,"Forderungen an Mitarbeiter (z.B. Lohnvorschüsse, Darlehen).",1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1531,Forderungen an Mitarbeiter bis 1 Jahr,Forderungen,Sonstige Forderungen,Aktivkonto,Forderungen an Mitarbeiter mit einer Restlaufzeit von bis zu einem Jahr.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1537,Forderungen an Mitarbeiter größer 1 Jahr,Forderungen,Sonstige Forderungen,Aktivkonto,Forderungen an Mitarbeiter mit einer Restlaufzeit von mehr als einem Jahr.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1540,Forderungen aus Steuerüberzahlungen,Forderungen,Forderungen an Finanzamt,Aktivkonto,Sammelkonto für Steuererstattungsansprüche (außer USt).,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1542,Steuererstattungsansprüche gegenüber anderen Ländern,Forderungen,Forderungen an Finanzamt,Aktivkonto,Erstattungsansprüche für im Ausland gezahlte Steuern.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1543,Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag,Forderungen,Forderungen an Finanzamt,Aktivkonto,Anrechenbare Bauabzugsteuer nach § 48 EStG.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1544,Forderungen gegenüber Bundesagentur für Arbeit,Forderungen,Sonstige Forderungen,Aktivkonto,Forderungen z.B. aus Kurzarbeitergeld oder Eingliederungszuschüssen.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1545,Umsatzsteuerforderungen,Forderungen,Forderungen an Finanzamt (USt),Aktivkonto,Umsatzsteuer-Erstattungsanspruch aus der laufenden USt-Voranmeldung.,1780,,,Umsatzsteuererstattungen,Nein,B.II.4. Sonstige Vermögensgegenstände,,
